ZipCode,TotalPopulation,NoInsuranceRate,AsthmaRate,DiabetesRate
1515,"2,224",3.9,12.4,9.9
1516,"8,962",3.2,12.2,8.6
1518,"3,176",3.5,12.3,8.7
1519,"7,254",3.2,11.9,8.6
1520,"16,394",3.0,11.8,8.7
1521,"2,603",4.1,12.8,10.1
1522,"3,464",2.9,12.0,8.6
1523,"8,377",4.6,11.3,8.6
1524,"6,621",4.4,12.7,9.8
1525,73,3.2,12.1,8.5
1527,"13,799",4.1,12.4,9.8
1529,"3,174",4.0,12.9,9.2
1531,996,4.0,12.7,10.8
1532,"15,741",2.8,11.4,8.6
1534,"6,233",4.4,12.8,10.6
1535,"4,735",4.5,12.7,10.7
1536,"7,514",3.6,11.9,9.0
1537,"2,141",4.1,12.7,9.7
1540,"11,032",4.5,12.8,10.3
1541,"3,495",2.6,11.8,9.5
1542,"2,366",4.3,12.2,10.8
1543,"9,049",3.5,12.3,8.5
1545,"38,316",3.2,10.9,8.8
1550,"17,740",10.8,12.7,12.9
1560,"4,896",4.0,11.5,8.2
1562,"11,992",5.2,12.6,10.7
1564,"7,985",3.0,12.0,9.4
1566,"6,691",3.3,12.0,9.3
1568,"7,900",2.7,11.9,8.6
1569,"14,193",3.7,12.4,9.4
1570,"17,776",6.4,12.9,11.9
1571,"11,921",5.6,12.6,9.9
1581,"21,567",3.3,10.8,8.6
1583,"7,652",4.7,11.8,9.8
1585,"4,899",4.2,12.7,12.1
1588,"10,106",4.3,12.7,9.7
1590,"9,279",3.0,12.1,8.9
1602,"25,382",5.2,12.5,10.1
1603,"22,417",9.9,12.6,13.2
1604,"41,301",8.2,12.8,11.4
1605,"29,218",9.8,12.9,12.5
1606,"21,651",5.7,12.6,10.7
1607,"9,378",8.3,13.1,11.5
1608,"4,996",11.5,13.1,10.0
1609,"23,870",8.2,12.7,10.4
1610,"28,717",12.3,13.4,11.7
1611,"2,277",5.0,12.6,9.3
1612,"5,051",3.3,12.0,8.0
1701,"33,005",3.6,11.5,9.0
1702,"39,515",8.8,12.8,9.9
1718,688,2.5,11.2,8.6
1719,"5,506",2.7,10.6,8.2
1720,"23,232",2.5,10.6,8.7
1721,"18,832",3.2,11.4,8.4
1730,"14,566",2.7,10.8,8.8
1731,"1,555",3.7,11.4,4.1
1740,"5,665",2.0,11.3,7.7
1741,"5,237",1.8,10.7,8.5
1742,"18,545",2.7,10.8,8.6
1745,433,2.3,11.3,7.7
1746,"14,996",2.7,11.5,8.4
1747,"6,017",3.4,12.2,8.9
1748,"18,758",2.5,10.9,7.5
1749,"20,092",4.2,12.2,9.0
1752,"41,793",6.3,12.4,9.6
1754,"10,730",3.1,11.8,8.2
1756,"6,228",2.9,12.1,9.0
1757,"30,479",6.5,13.0,10.2
1760,"36,659",2.9,11.1,8.1
1770,"4,401",1.9,11.0,7.5
1772,"10,017",2.3,11.0,8.2
1773,"5,651",2.3,10.8,9.5
1775,"7,190",2.3,11.2,8.2
1776,"18,934",2.1,10.9,7.8
1778,"14,132",2.2,10.7,8.5
1801,"40,891",4.4,11.9,9.0
1803,"26,074",3.2,10.9,8.7
1810,"35,621",2.5,10.7,8.3
1821,"30,909",3.5,11.7,8.5
1824,"26,881",3.1,11.3,8.7
1826,"32,689",4.6,12.1,9.3
1827,"3,358",2.8,11.6,7.9
1830,"27,553",7.8,12.2,11.2
1832,"25,656",7.8,12.1,10.4
1833,"8,410",2.7,11.6,8.2
1834,"6,752",3.0,11.7,8.7
1835,"14,578",4.7,12.2,8.9
1840,"7,121",21.0,11.7,17.9
1841,"53,654",20.3,11.1,14.5
1843,"28,346",15.2,11.1,12.8
1844,"52,970",7.5,11.7,10.7
1845,"31,855",3.5,11.5,8.2
1850,"16,670",10.0,12.7,11.7
1851,"32,691",7.7,11.0,11.4
1852,"36,708",7.8,12.1,10.8
1854,"29,561",8.1,12.1,10.2
1860,"6,723",3.5,12.2,9.6
1862,"11,430",4.4,11.6,8.5
1863,"9,536",3.4,11.5,8.7
1864,"15,554",2.8,11.5,7.9
1867,"25,522",2.7,11.3,8.0
1876,"31,105",3.8,12.0,9.2
1879,"12,368",3.2,11.8,8.5
1880,"27,071",3.2,11.6,8.2
1886,"24,618",2.4,10.7,8.1
1887,"23,349",3.2,11.7,8.4
1890,"22,970",2.4,10.7,8.2
1901,"2,794",14.8,13.4,20.1
1902,"50,725",13.5,12.0,12.9
1904,"19,944",7.4,12.0,10.5
1905,"27,761",11.7,11.7,11.5
1906,"28,619",4.9,12.1,10.2
1907,"15,148",3.3,11.7,9.3
1908,"3,334",2.7,11.5,10.4
1913,"17,366",3.6,12.3,9.4
1915,"42,341",3.7,12.1,8.5
1921,"8,263",2.4,11.3,8.1
1922,"3,134",2.7,11.7,9.5
1923,"27,987",3.5,11.8,9.2
1929,"3,618",2.6,11.5,8.3
1930,"29,729",4.3,12.2,11.0
1937,100,3.2,11.4,12.7
1938,"13,785",2.8,11.6,9.6
1940,"13,326",2.7,11.2,8.7
1944,"5,395",1.8,11.0,8.5
1945,"20,462",2.2,11.2,8.6
1949,"9,779",4.6,11.3,9.1
1950,"18,289",2.4,11.5,8.9
1951,"3,582",2.6,11.8,10.0
1952,"9,236",3.3,12.0,10.0
1960,"54,155",5.1,12.0,10.3
1965,329,2.8,12.2,8.6
1966,"6,992",2.8,11.7,11.1
1969,"6,161",2.6,11.6,8.6
1970,"44,451",5.5,12.0,9.2
1982,"7,618",2.7,11.4,8.5
1983,"6,569",2.3,11.1,8.8
1984,"4,979",2.9,11.9,6.8
1985,"4,500",2.5,11.5,8.8
2019,"16,945",4.0,11.5,8.9
2021,"24,370",3.1,10.8,8.6
2025,"8,381",2.2,10.7,7.8
2026,"25,364",4.1,11.0,8.9
2030,"5,923",2.1,10.3,7.8
2032,"4,853",3.2,10.6,8.0
2035,"18,618",3.6,11.3,9.0
2038,"33,261",3.3,11.2,8.2
2043,"24,272",2.4,11.0,8.6
2045,"10,072",3.2,11.8,10.5
2047,371,2.7,11.3,10.1
2048,"23,860",3.4,12.0,8.1
